日期,股票代码,名称,涨跌幅
2014/4/29,'399300,沪深300,1.1008
2014/4/28,'399300,沪深300,-1.5157
2014/4/25,'399300,沪深300,-1.0339
2014/4/24,'399300,沪深300,-0.1911
2014/4/23,'399300,沪深300,-0.0968
2014/4/22,'399300,沪深300,0.4365
2014/4/21,'399300,沪深300,-1.6737
2014/4/18,'399300,沪深300,-0.0146
2014/4/17,'399300,沪深300,-0.3459
2014/4/16,'399300,沪深300,0.1374
2014/4/15,'399300,沪深300,-1.7257
2014/4/14,'399300,沪深300,-0.0904
2014/4/11,'399300,沪深300,-0.1361
2014/4/10,'399300,沪深300,1.5698
2014/4/9,'399300,沪深300,0.0583
2014/4/8,'399300,沪深300,2.3722
2014/4/4,'399300,沪深300,0.9452
2014/4/3,'399300,沪深300,-0.7208
2014/4/2,'399300,沪深300,0.8142
2014/4/1,'399300,沪深300,0.7832
2014/3/31,'399300,沪深300,-0.263
2014/3/28,'399300,沪深300,-0.1736
2014/3/27,'399300,沪深300,-0.7066
2014/3/26,'399300,沪深300,-0.156
2014/3/25,'399300,沪深300,-0.0971
2014/3/24,'399300,沪深300,0.8225
2014/3/21,'399300,沪深300,3.4419
2014/3/20,'399300,沪深300,-1.5985
2014/3/19,'399300,沪深300,-0.8074
2014/3/18,'399300,沪深300,-0.2289
2014/3/17,'399300,沪深300,0.9517
2014/3/14,'399300,沪深300,-0.8175
2014/3/13,'399300,沪深300,1.2392
2014/3/12,'399300,沪深300,0.2595
2014/3/11,'399300,沪深300,0.5184
2014/3/10,'399300,沪深300,-3.2546
2014/3/7,'399300,沪深300,-0.2427
2014/3/6,'399300,沪深300,0.4463
2014/3/5,'399300,沪深300,-0.9292
2014/3/4,'399300,沪深300,-0.2784
2014/3/3,'399300,沪深300,0.5231
2014/2/28,'399300,沪深300,1.1542
2014/2/27,'399300,沪深300,-0.4297
2014/2/26,'399300,沪深300,0.2547
2014/2/25,'399300,沪深300,-2.5559
2014/2/24,'399300,沪深300,-2.1987
2014/2/21,'399300,沪深300,-1.0117
2014/2/20,'399300,沪深300,-0.9191
2014/2/19,'399300,沪深300,1.1485
2014/2/18,'399300,沪深300,-1.2634
2014/2/17,'399300,沪深300,0.7001
2014/2/14,'399300,沪深300,0.7028
2014/2/13,'399300,沪深300,-0.5103
2014/2/12,'399300,沪深300,0.2487
2014/2/11,'399300,沪深300,0.795
2014/2/10,'399300,沪深300,2.4882
2014/2/7,'399300,沪深300,0.4555
2014/1/30,'399300,沪深300,-1.1371
2014/1/29,'399300,沪深300,0.3571
2014/1/28,'399300,沪深300,0.1776
2014/1/27,'399300,沪深300,-1.3252
2014/1/24,'399300,沪深300,0.6178
2014/1/23,'399300,沪深300,-0.5307
2014/1/22,'399300,沪深300,2.5778
2014/1/21,'399300,沪深300,0.9888
2014/1/20,'399300,沪深300,-0.5736
2014/1/17,'399300,沪深300,-1.5081
2014/1/16,'399300,沪深300,0.1314
2014/1/15,'399300,沪深300,-0.1765
2014/1/14,'399300,沪深300,0.8737
2014/1/13,'399300,沪深300,-0.5067
2014/1/10,'399300,沪深300,-0.7817
2014/1/9,'399300,沪深300,-0.8783
2014/1/8,'399300,沪深300,0.1747
2014/1/7,'399300,沪深300,-0.0284
2014/1/6,'399300,沪深300,-2.2762
2014/1/3,'399300,沪深300,-1.3436
2014/1/2,'399300,沪深300,-0.3454
2013/12/31,'399300,沪深300,1.3294
