收盘价	日期	股票代码	名称	涨跌幅
1266.543	4/29/14	399006	创业板指	0.7381
1257.263	4/28/14	399006	创业板指	-2.6813
1291.903	4/25/14	399006	创业板指	-2.0918
1319.505	4/24/14	399006	创业板指	-0.5227
1326.438	4/23/14	399006	创业板指	-0.7296
1336.187	4/22/14	399006	创业板指	-2.0284
1363.851	4/21/14	399006	创业板指	-0.985
1377.419	4/18/14	399006	创业板指	0.7186
1367.591	4/17/14	399006	创业板指	0.6097
1359.304	4/16/14	399006	创业板指	-0.7727
1369.889	4/15/14	399006	创业板指	-0.2068
1372.728	4/14/14	399006	创业板指	0.6473
1363.899	4/11/14	399006	创业板指	-1.2485
1381.142	4/10/14	399006	创业板指	0.7793
1370.462	4/9/14	399006	创业板指	1.4268
1351.183	4/8/14	399006	创业板指	0.3301
1346.738	4/4/14	399006	创业板指	1.5505
1326.176	4/3/14	399006	创业板指	-0.1361
1327.983	4/2/14	399006	创业板指	-1.9976
1355.051	4/1/14	399006	创业板指	2.0523
1327.8	3/31/14	399006	创业板指	-0.2029
1330.5	3/28/14	399006	创业板指	-2.7387
1367.964	3/27/14	399006	创业板指	-3.5024
1417.614	3/26/14	399006	创业板指	1.6339
1394.824	3/25/14	399006	创业板指	-0.1768
1397.294	3/24/14	399006	创业板指	-1.5879
1419.84	3/21/14	399006	创业板指	0.1539
1417.658	3/20/14	399006	创业板指	-3.3119
1466.217	3/19/14	399006	创业板指	-1.3074
1485.64	3/18/14	399006	创业板指	0.5567
1477.415	3/17/14	399006	创业板指	3.026
1434.021	3/14/14	399006	创业板指	-0.1973
1436.856	3/13/14	399006	创业板指	2.6864
1399.266	3/12/14	399006	创业板指	0.2474
1395.813	3/11/14	399006	创业板指	-0.8002
1407.073	3/10/14	399006	创业板指	-3.6655
1460.611	3/7/14	399006	创业板指	-0.1311
1462.528	3/6/14	399006	创业板指	-0.14
1464.578	3/5/14	399006	创业板指	0.2825
1460.452	3/4/14	399006	创业板指	-0.3199
1465.139	3/3/14	399006	创业板指	2.1078
1434.894	2/28/14	399006	创业板指	1.4305
1414.657	2/27/14	399006	创业板指	-3.5013
1465.985	2/26/14	399006	创业板指	-0.4554
1472.691	2/25/14	399006	创业板指	-4.3723
1540.026	2/24/14	399006	创业板指	1.3398
1519.665	2/21/14	399006	创业板指	0.2971
1515.164	2/20/14	399006	创业板指	-1.8932
1544.402	2/19/14	399006	创业板指	-0.0608
1545.341	2/18/14	399006	创业板指	-0.8517
1558.616	2/17/14	399006	创业板指	2.8257
1515.784	2/14/14	399006	创业板指	2.064
1485.131	2/13/14	399006	创业板指	-3.5608
1539.966	2/12/14	399006	创业板指	0.8391
1527.151	2/11/14	399006	创业板指	-1.6907
